SETTLEMENTDATE,PRICEBAND1,PRICEBAND2,PRICEBAND3,PRICEBAND4,PRICEBAND5,PRICEBAND6,PRICEBAND7,PRICEBAND8,PRICEBAND9,PRICEBAND10
22/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
28/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
29/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
30/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
1/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
10/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
11/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
12/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
13/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
14/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
15/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
16/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
17/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
18/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
19/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
20/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
21/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
22/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
28/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
29/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
30/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
31/10/2010 0:00,0,5,15,25,40,60,100,168,300,3500
1/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
10/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
11/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
12/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
13/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
14/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
15/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
16/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
17/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
18/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
19/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
20/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
21/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
22/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/11/2010 0:00,0,5,15,25,40,60,100,168,300,3500
